TEAM_NAME,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense Four Factors_eFG%,Offense Four Factors_TOV%,Offense Four Factors_ORB%,Offense Four Factors_FT/FGA,Defense Four Factors_eFG%,Defense Four Factors_TOV%,Defense Four Factors_DRB%,Defense Four Factors_FT/FGA,Is_Playoff,Season_Year,Target_Top4,Target_Top2,Target_Champ,Has_Top5_MVP,All_NBA_Count,Conference,Age_Diff,Age_Rank,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,W_Rank,MOV_Rank,SRS_Rank,ORtg_Rank,NRtg_Rank,TS%_Rank,Post_ORtg_Rank,Post_NRtg_Rank,Post_TS_PCT_Rank,Team_3PM_per100_Rank,Team_AST_per100_Rank,Opp_TOV_forced_Rank,Clutch_Win_PCT_Rank,Post_AllStar_Win_PCT_Rank,DRtg_Rank,Post_DRtg_Rank,Team_TOV_per100_Rank,Opp_FG_PCT_Rank,Opp_FG3_PCT_Rank
Los Angeles Lakers,27.9,58.0,24.0,60,22,7.12,0.03,7.15,109.4,101.7,7.7,92.1,0.313,0.21,0.534,0.498,11.8,28.8,0.218,0.453,13.0,72.0,0.233,1,2001,1,1,1,1,2,West,0.8879999999999981,10.0,106.4,101.0,5.4,0.541,6.6,24.5,13.5,0.424,0.317,14.9,0.59,0.694,1.0,2.0,2.0,2.0,2.0,2.0,7.0,4.0,4.0,7.0,7.0,8.0,20.0,5.0,4.0,7.0,11.0,2.0,1.0,1.0
San Antonio Spurs,28.5,58.0,24.0,59,23,6.21,0.07,6.28,106.5,99.7,6.8,90.0,0.353,0.19,0.539,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,1,2001,1,0,0,1,1,West,0.2879999999999967,4.0,104.8,95.9,8.9,0.544,5.8,21.8,15.7,0.426,0.338,15.8,0.568,0.794,1.0,2.0,3.0,3.0,9.0,3.0,5.0,6.0,1.0,3.0,11.0,25.0,12.0,7.0,1.0,2.0,1.0,13.0,4.0,4.0
New Jersey Nets,26.1,52.0,30.0,53,29,4.16,-0.49,3.67,104.0,99.5,4.5,91.8,0.28,0.175,0.515,0.476,13.4,29.2,0.206,0.459,14.9,71.6,0.213,1,2001,0,0,0,0,0,East,2.687999999999996,21.0,101.7,98.3,3.4,0.522,5.2,25.8,15.4,0.429,0.348,17.1,0.561,0.571,0.0,5.0,5.0,5.0,17.0,4.0,17.0,16.0,9.0,15.0,15.0,3.0,3.0,10.0,12.0,1.0,3.0,10.0,6.0,9.0
Dallas Mavericks,27.6,57.0,25.0,53,29,4.26,0.16,4.41,112.2,107.7,4.5,92.8,0.288,0.237,0.553,0.507,11.3,26.1,0.232,0.485,12.9,70.7,0.239,1,2001,0,0,0,0,1,West,1.1879999999999953,12.0,109.7,104.3,5.4,0.554,7.9,23.1,12.7,0.452,0.35,14.8,0.641,0.667,1.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,19.0,22.0,2.0,6.0,25.0,21.0,1.0,18.0,12.0
Minnesota Timberwolves,26.7,50.0,32.0,51,31,3.38,0.2,3.58,109.0,105.3,3.7,90.5,0.255,0.152,0.532,0.49,12.5,31.3,0.203,0.482,12.7,73.7,0.218,1,2001,0,0,0,0,1,West,2.0879999999999974,18.0,105.3,103.0,2.4,0.534,5.2,26.3,14.5,0.445,0.372,14.5,0.537,0.515,1.0,6.0,6.0,6.0,3.0,6.0,9.0,5.0,12.0,10.0,15.0,2.0,25.0,12.0,15.0,15.0,17.0,7.0,13.0,25.0
Portland Trail Blazers,29.0,49.0,33.0,50,32,2.99,0.22,3.21,107.4,104.0,3.4,89.3,0.285,0.198,0.528,0.485,13.5,31.8,0.218,0.489,14.2,73.3,0.202,1,2001,0,0,0,0,0,West,0.2120000000000033,2.0,103.9,98.8,5.2,0.521,6.2,25.7,15.7,0.453,0.363,16.1,0.6,0.706,1.0,8.0,8.0,8.0,6.0,7.0,11.0,8.0,6.0,16.0,10.0,5.0,10.0,3.0,3.0,12.0,5.0,13.0,20.0,24.0
Seattle SuperSonics,26.9,45.0,37.0,50,32,3.02,0.22,3.24,108.9,105.6,3.3,89.0,0.25,0.193,0.54,0.505,13.2,29.4,0.189,0.485,14.5,68.1,0.206,1,2001,0,0,0,0,0,West,1.887999999999998,17.0,107.2,101.5,5.7,0.545,6.5,25.8,15.1,0.449,0.344,16.8,0.455,0.588,0.0,10.0,7.0,7.0,5.0,8.0,3.0,2.0,3.0,2.0,8.0,3.0,6.0,20.0,9.0,17.0,14.0,8.0,17.0,7.0
Boston Celtics,26.2,49.0,33.0,48,34,2.21,-0.46,1.75,103.4,101.0,2.4,92.5,0.291,0.289,0.52,0.476,12.8,24.1,0.223,0.464,15.1,72.9,0.245,1,2001,0,0,0,0,0,East,2.5879999999999974,20.0,102.2,97.8,4.4,0.535,9.0,22.3,14.4,0.425,0.34,17.3,0.588,0.636,0.0,8.0,9.0,9.0,18.0,9.0,14.0,14.0,7.0,9.0,1.0,23.0,2.0,6.0,7.0,5.0,2.0,5.0,2.0,5.0
Detroit Pistons,29.5,50.0,32.0,48,34,2.13,-0.45,1.69,104.8,102.4,2.4,90.0,0.31,0.24,0.54,0.497,14.3,24.4,0.235,0.474,14.8,70.5,0.206,1,2001,0,0,0,0,0,East,0.7120000000000033,8.0,103.7,100.0,3.6,0.544,7.6,23.5,15.9,0.447,0.362,17.0,0.6,0.686,0.0,6.0,10.0,10.0,12.0,9.0,3.0,9.0,8.0,3.0,5.0,15.0,4.0,3.0,5.0,8.0,9.0,18.0,15.0,23.0
Philadelphia 76ers,29.0,43.0,39.0,46,36,1.6,-0.33,1.27,102.1,100.3,1.8,88.9,0.327,0.111,0.507,0.452,14.6,31.7,0.255,0.46,14.2,72.1,0.208,1,2001,1,1,0,1,1,East,0.2120000000000033,2.0,101.7,99.7,2.0,0.517,2.9,22.1,16.9,0.426,0.331,16.3,0.522,0.545,1.0,14.0,11.0,11.0,23.0,11.0,22.0,16.0,13.0,19.0,28.0,24.0,9.0,14.0,13.0,4.0,8.0,25.0,4.0,2.0
Orlando Magic,28.0,44.0,38.0,46,36,1.57,-0.32,1.25,107.0,105.3,1.7,93.2,0.278,0.241,0.533,0.493,12.6,26.3,0.21,0.486,14.4,69.2,0.215,1,2001,0,0,0,0,1,East,0.7879999999999967,9.0,104.5,103.8,0.7,0.542,7.9,23.1,14.3,0.456,0.352,16.5,0.528,0.576,1.0,11.0,12.0,12.0,7.0,12.0,8.0,7.0,15.0,5.0,2.0,19.0,7.0,13.0,10.0,15.0,18.0,4.0,21.0,13.0
Utah Jazz,29.9,44.0,38.0,44,38,0.89,0.32,1.21,105.6,104.6,1.0,90.3,0.381,0.132,0.529,0.472,15.4,33.5,0.291,0.484,15.9,71.7,0.286,1,2001,0,0,0,0,0,West,1.112000000000002,11.0,102.7,100.2,2.5,0.528,3.7,26.4,17.8,0.447,0.383,18.1,0.465,0.576,1.0,11.0,14.0,13.0,10.0,13.0,10.0,12.0,11.0,13.0,27.0,1.0,1.0,18.0,10.0,14.0,10.0,28.0,15.0,27.0
Charlotte Hornets,28.3,44.0,38.0,44,38,0.96,-0.4,0.57,104.3,103.3,1.0,89.7,0.32,0.151,0.513,0.466,13.3,30.6,0.238,0.465,13.3,72.2,0.226,1,2001,0,0,0,0,0,East,0.487999999999996,5.0,102.6,99.2,3.3,0.517,4.6,23.5,15.4,0.432,0.375,15.2,0.551,0.618,1.0,11.0,13.0,14.0,15.0,13.0,19.0,13.0,10.0,19.0,21.0,15.0,18.0,11.0,8.0,10.0,7.0,10.0,7.0,26.0
Indiana Pacers,26.1,42.0,40.0,42,40,0.27,-0.34,-0.07,104.1,103.8,0.3,91.9,0.328,0.182,0.527,0.477,14.2,27.0,0.253,0.469,13.2,71.0,0.227,1,2001,0,0,0,0,0,East,2.687999999999996,21.0,101.8,101.0,0.8,0.531,5.2,24.4,16.2,0.438,0.348,15.2,0.429,0.531,1.0,15.0,15.0,15.0,16.0,15.0,12.0,15.0,14.0,11.0,15.0,9.0,18.0,23.0,14.0,11.0,11.0,21.0,8.0,9.0
Milwaukee Bucks,28.9,41.0,41.0,40,42,-0.22,-0.4,-0.62,106.9,107.1,-0.2,90.2,0.269,0.241,0.544,0.507,13.6,25.6,0.201,0.477,12.0,70.9,0.217,0,2001,1,0,0,0,1,East,0.1120000000000018,1.0,103.5,104.8,-1.3,0.542,7.8,24.3,15.2,0.441,0.358,13.9,0.565,0.361,1.0,17.0,16.0,18.0,8.0,16.0,2.0,10.0,18.0,5.0,4.0,10.0,27.0,8.0,21.0,23.0,22.0,9.0,10.0,17.0
